"","length","time","Dens","Trt","Rep","Ind","xn","yn","x0","y0","Tank","Sal","Temp","Oxy","CL","CW","SI","Trial","Side","High","StepLength","DistHigh","TimeHigh","Displacement"
"18",896.164264047421,390,"D2","HH","4",1,37.4828580935761,-136.145972361495,16.2682132268193,-3.00164161197524,"WV02","31","11.1","10.4","7.6","20.2","1.5","32","C",1,11.4892854365054,246.630587351162,95,134.823862752704
"19",309.29484879789,115,"D2","HH","5",1,-82.4328461488332,115.977821418937,-9.79142762398507,7.95579810730904,"WV02","30","12.4","9.1","7.6","21","1.6","34","O",1,13.4476021216474,309.29484879789,115,130.175009912195
"20",425.579057646525,395,"D2","HH","6",1,92.3445329584487,118.556710814217,-13.3086767332926,23.9175778139994,"WV02","31","11.9","9.6","7.2","20.2","1.5","48","O",0,5.38707667906993,327.022235125562,330,141.842046704072
"21",2350.24585503319,1295,"D2","HH","7",1,42.2611661946986,-15.5087729000093,-18.7719618092093,27.3375959731939,"WV04","31","12.7","10.3","7.1","19.9","1.4","55","C",1,9.07430832059147,1351.4678719901,735,74.5711340906118
"22",575.558794030205,335,"D2","HM","1",1,120.513900937028,91.2913543813439,-11.558060396501,-35.255813105229,"WV04","31","9.8","10.4","7.1","21.5","1.5","3","O",0,8.59042976164485,377.170495086673,230,182.913062872393
"23",1457.63811036289,245,"D2","HM","2",1,146.999880484593,35.8912198972849,-6.39946332418647,12.5297075002728,"WV04","30","11.3","9.9","6.8","21.4","1.5","11","C",1,29.7477165380182,1261.98829730847,210,155.168034538174
"24",1034.71078374759,425,"D2","HM","3",1,-140.529733355643,-52.2550264969004,-31.5169861297766,6.89320051177043,"WV02","31","10.6","9.6","6.9","20","1.4","20","O",1,12.1730680440893,848.618515735383,300,124.025367630981
"25",610.156465290543,430,"D2","HM","4",1,38.6505344009832,-135.182032147909,-2.79730688020402,24.9555270258507,"WV04","31","10","9.1","7.5","17.1","1.3","29","O",0,7.09484261965748,452.045216020419,220,165.414513888594
"26",1097.1744590501,170,"D2","HM","5",1,-147.815547787391,-41.1837264194686,11.8836332278988,-33.447898328965,"WV02","30","12.8","9.8","7.1","19.1","1.4","36","O",1,32.2698370308852,709.630113481977,110,159.886432986667
"27",1017.02794432186,390,"D2","HM","6",1,64.9477719131672,-128.518896443734,24.2698987116198,5.56861617708706,"WV04","31","11.5","9.4","7","21.2","1.5","45","O",0,13.0388197989982,444.108813663203,150,140.121912665507
"28",839.04380999847,155,"D2","HM","7",1,146.235792679962,23.7705159048601,-8.79301165937545,17.5005875866523,"WV02","31","12.8","10","6.8","19.9","1.4","56","O",0,27.0659293547894,467.90351632275,65,155.155541879754
"29",663.006212167106,715,"D2","HL","1",2,92.1548815598021,136.911846282266,-26.9613917164075,-20.0138614503657,"WV04","30","9.9","10.7","7.8","19.7","1.5","5","O",0,4.63640707809165,454.926773845774,605,197.013614520926
"30",643.213942887384,170,"D2","HL","2",2,93.0625836382103,98.4461279698755,13.9029220924286,-18.2868529881951,"WV02","31","11.4","9.9","7.4","19.3","1.4","12","O",0,18.9180571437466,351.380992238804,50,141.041982612979
"31",303.379047349437,50,"D2","HL","3",2,-13.8578011022193,-148.156300311297,-30.8106272736083,-13.1221225724646,"WV02","31","11.3","9.1","7.8","20.8","1.6","24","C",0,30.3379047349437,0,0,136.094186035995
"32",379.609213174924,275,"D2","HL","4",2,-140.159613024499,43.2143552248876,-3.43087217072014,-13.5161439245141,"WV02","31","10.4","10","7.3","21.7","1.6","28","C",0,6.90198569408952,176.700573322167,135,148.030733664331
"33",941.543933275996,440,"D2","HL","5",2,-80.7490561962137,123.825696004911,-21.9983856428507,22.9854365829414,"WV02","31","12.8","9.3","7.3","19","1.4","38","O",1,10.6993628781363,582.939579783041,330,116.706466019497
"34",398.260393506426,470,"D2","HL","6",2,79.0377336611294,-125.078573898939,-4.23301181829518,-26.8464355434045,"WV02","30","11.4","9.9","6.9","20.9","1.4","44","O",0,4.23681269687687,28.1547291799921,20,128.777210944328
"35",584.365958798015,115,"D2","HL","7",2,-20.9786686260814,-140.310865862474,-19.7565806047709,3.16593962785003,"WV02","31","12.1","10.4","7.3","18.9","1.4","52","C",0,25.4072155999137,187.149767243117,35,143.482010066907
"36",193.351079675683,120,"D2","LL","1",2,146.761170014083,-10.410333155925,10.0260237790433,7.53335488756897,"WV02","30","9.9","10.7","7.3","19.3","1.4","6","O",0,8.05629498648679,-2.8421709430404e-14,0,137.907491299494
"37",520.514114926514,290,"D2","LL","2",2,-17.0452164073961,-149.707927574411,-4.45136955639536,3.04134297184593,"WV02","31","9.9","10.7","7.3","18","1.3","16","O",1,8.97438129183645,377.186412065058,190,153.267558964446
"38",648.878800915423,1295,"D2","LL","3",2,-26.6444187426548,-40.018471597327,-16.0191024925246,4.70765242281051,"WV04","31","11.6","9.9","7.5","18.6","1.4","23","C",0,2.505323555658,195.189792968114,295,45.9708985694211
